کلاس کالا,کد کلاس,سرگروه کالا,کد سرگروه,گروه کالا,کد گروه,شناسه تکمیلی,کد شناسه,ویژگی اصلی فنی,کد ویژگی اصلی,ویژگی فرعی فنی,کد ویژگی فرعی,شرح کالا,کد سریال,کد کامل
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,1500 وات,003,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-01-003-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,1500 وات,003,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-01-003-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,2000 وات,004,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-01-004-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,2000 وات,004,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-01-004-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,3000 وات,005,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-01-005-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,3000 وات,005,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-01-005-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,5000 وات,006,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-01-006-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تولیدی هانی موتور,01,5000 وات,006,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-01-006-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,500 وات,001,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-02-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,500 وات,001,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-02-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,1000 وات,002,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-02-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,1000 وات,002,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-02-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,1500 وات,003,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-02-003-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,1500 وات,003,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-02-003-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,2000 وات,004,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-02-004-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,2000 وات,004,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-02-004-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,3000 وات,005,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-02-005-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,3000 وات,005,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-02-005-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,5000 وات,006,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-02-006-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین ‌کننده داخلی,02,5000 وات,006,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-02-006-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,500 وات,001,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-03-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,500 وات,001,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-03-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,1000 وات,002,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-03-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,1000 وات,002,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-03-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,1500 وات,003,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-03-003-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,1500 وات,003,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-03-003-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,2000 وات,004,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-03-004-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,2000 وات,004,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-03-004-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,3000 وات,005,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-03-005-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,3000 وات,005,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-03-005-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,5000 وات,006,موتور داخل چرخ (Hub Motor),01,شرح کالا,001,11-1-02-03-006-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه موتور الکتريکي,02,تامین‌ کننده خارجی,03,5000 وات,006,موتور مرکزی (Mid-drive Motor),02,شرح کالا,001,11-1-02-03-006-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تولیدی هانی موتور,01,فیلتر کاغذی (معمولی و یکبار مصرف),001,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-01-001-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تولیدی هانی موتور,01,فیلتر اسفنجی (قابل شستشو),002,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-01-002-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تولیدی هانی موتور,01,فیلتر پارچه‌ای/کتان (اسپرت و قابل شستشو),003,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-01-003-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تامین ‌کننده داخلی,02,فیلتر کاغذی (معمولی و یکبار مصرف),001,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-02-001-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تامین ‌کننده داخلی,02,فیلتر اسفنجی (قابل شستشو),002,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-02-002-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تامین ‌کننده داخلی,02,فیلتر پارچه‌ای/کتان (اسپرت و قابل شستشو),003,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-02-003-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تامین‌ کننده خارجی,03,فیلتر کاغذی (معمولی و یکبار مصرف),001,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-03-001-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تامین‌ کننده خارجی,03,فیلتر اسفنجی (قابل شستشو),002,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-03-002-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه فيلتر و هواکش,03,تامین‌ کننده خارجی,03,فیلتر پارچه‌ای/کتان (اسپرت و قابل شستشو),003,فاقد مشخصه فرعی,00,شرح کالا,001,11-1-03-03-003-00-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تولیدی هانی موتور,01,مکانیکی (سیمی),001,قطر دهانه ۲۴ میلی ‌متر,01,شرح کالا,001,11-1-04-01-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تولیدی هانی موتور,01,مکانیکی (سیمی),001,قطر دهانه 26 میلی ‌متر,02,شرح کالا,001,11-1-04-01-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تولیدی هانی موتور,01,مکانیکی (سیمی),001,قطر دهانه 28 میلی ‌متر,03,شرح کالا,001,11-1-04-01-001-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تولیدی هانی موتور,01,الکترونیکی (برقی),002,قطر دهانه ۲۴ میلی ‌متر,01,شرح کالا,001,11-1-04-01-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تولیدی هانی موتور,01,الکترونیکی (برقی),002,قطر دهانه 26 میلی ‌متر,02,شرح کالا,001,11-1-04-01-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تولیدی هانی موتور,01,الکترونیکی (برقی),002,قطر دهانه 28 میلی ‌متر,03,شرح کالا,001,11-1-04-01-002-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین ‌کننده داخلی,02,مکانیکی (سیمی),001,قطر دهانه ۲۴ میلی ‌متر,01,شرح کالا,001,11-1-04-02-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین ‌کننده داخلی,02,مکانیکی (سیمی),001,قطر دهانه 26 میلی ‌متر,02,شرح کالا,001,11-1-04-02-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین ‌کننده داخلی,02,مکانیکی (سیمی),001,قطر دهانه 28 میلی ‌متر,03,شرح کالا,001,11-1-04-02-001-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین ‌کننده داخلی,02,الکترونیکی (برقی),002,قطر دهانه ۲۴ میلی ‌متر,01,شرح کالا,001,11-1-04-02-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین ‌کننده داخلی,02,الکترونیکی (برقی),002,قطر دهانه 26 میلی ‌متر,02,شرح کالا,001,11-1-04-02-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین ‌کننده داخلی,02,الکترونیکی (برقی),002,قطر دهانه 28 میلی ‌متر,03,شرح کالا,001,11-1-04-02-002-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین‌ کننده خارجی,03,مکانیکی (سیمی),001,قطر دهانه ۲۴ میلی ‌متر,01,شرح کالا,001,11-1-04-03-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین‌ کننده خارجی,03,مکانیکی (سیمی),001,قطر دهانه 26 میلی ‌متر,02,شرح کالا,001,11-1-04-03-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین‌ کننده خارجی,03,مکانیکی (سیمی),001,قطر دهانه 28 میلی ‌متر,03,شرح کالا,001,11-1-04-03-001-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین‌ کننده خارجی,03,الکترونیکی (برقی),002,قطر دهانه ۲۴ میلی ‌متر,01,شرح کالا,001,11-1-04-03-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین‌ کننده خارجی,03,الکترونیکی (برقی),002,قطر دهانه 26 میلی ‌متر,02,شرح کالا,001,11-1-04-03-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه دريچه گاز,04,تامین‌ کننده خارجی,03,الکترونیکی (برقی),002,قطر دهانه 28 میلی ‌متر,03,شرح کالا,001,11-1-04-03-002-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تولیدی هانی موتور,01,کاربراتوری,001,مدل PZ19,01,شرح کالا,001,11-1-05-01-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تولیدی هانی موتور,01,کاربراتوری,001,مدل PZ22,02,شرح کالا,001,11-1-05-01-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تولیدی هانی موتور,01,انژکتوری,002,تک انژکتور,01,شرح کالا,001,11-1-05-01-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تولیدی هانی موتور,01,انژکتوری,002,دو انژکتور,02,شرح کالا,001,11-1-05-01-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تامین ‌کننده داخلی,02,کاربراتوری,001,مدل PZ19,01,شرح کالا,001,11-1-05-02-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تامین ‌کننده داخلی,02,کاربراتوری,001,مدل PZ22,02,شرح کالا,001,11-1-05-02-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تامین ‌کننده داخلی,02,انژکتوری,002,تک انژکتور,01,شرح کالا,001,11-1-05-02-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تامین ‌کننده داخلی,02,انژکتوری,002,دو انژکتور,02,شرح کالا,001,11-1-05-02-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تامین‌ کننده خارجی,03,کاربراتوری,001,مدل PZ19,01,شرح کالا,001,11-1-05-03-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تامین‌ کننده خارجی,03,کاربراتوری,001,مدل PZ22,02,شرح کالا,001,11-1-05-03-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تامین‌ کننده خارجی,03,انژکتوری,002,تک انژکتور,01,شرح کالا,001,11-1-05-03-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه سوخت رساني,05,تامین‌ کننده خارجی,03,انژکتوری,002,دو انژکتور,02,شرح کالا,001,11-1-05-03-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تولیدی هانی موتور,01,بدون کاتالیست,001,استاندارد یورو 4,01,شرح کالا,001,11-1-06-01-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تولیدی هانی موتور,01,بدون کاتالیست,001,استاندارد یورو 5,02,شرح کالا,001,11-1-06-01-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تولیدی هانی موتور,01,بدون کاتالیست,001,فاقد استاندارد آلایندگی (معمولاً برای اگزوزهای بدون کاتالیست),03,شرح کالا,001,11-1-06-01-001-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تولیدی هانی موتور,01,با کاتالیست,002,استاندارد یورو 4,01,شرح کالا,001,11-1-06-01-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تولیدی هانی موتور,01,با کاتالیست,002,استاندارد یورو 5,02,شرح کالا,001,11-1-06-01-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تولیدی هانی موتور,01,با کاتالیست,002,فاقد استاندارد آلایندگی (معمولاً برای اگزوزهای بدون کاتالیست),03,شرح کالا,001,11-1-06-01-002-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین ‌کننده داخلی,02,بدون کاتالیست,001,استاندارد یورو 4,01,شرح کالا,001,11-1-06-02-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین ‌کننده داخلی,02,بدون کاتالیست,001,استاندارد یورو 5,02,شرح کالا,001,11-1-06-02-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین ‌کننده داخلی,02,بدون کاتالیست,001,فاقد استاندارد آلایندگی (معمولاً برای اگزوزهای بدون کاتالیست),03,شرح کالا,001,11-1-06-02-001-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین ‌کننده داخلی,02,با کاتالیست,002,استاندارد یورو 4,01,شرح کالا,001,11-1-06-02-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین ‌کننده داخلی,02,با کاتالیست,002,استاندارد یورو 5,02,شرح کالا,001,11-1-06-02-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین ‌کننده داخلی,02,با کاتالیست,002,فاقد استاندارد آلایندگی (معمولاً برای اگزوزهای بدون کاتالیست),03,شرح کالا,001,11-1-06-02-002-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین‌ کننده خارجی,03,بدون کاتالیست,001,استاندارد یورو 4,01,شرح کالا,001,11-1-06-03-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین‌ کننده خارجی,03,بدون کاتالیست,001,استاندارد یورو 5,02,شرح کالا,001,11-1-06-03-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین‌ کننده خارجی,03,بدون کاتالیست,001,فاقد استاندارد آلایندگی (معمولاً برای اگزوزهای بدون کاتالیست),03,شرح کالا,001,11-1-06-03-001-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین‌ کننده خارجی,03,با کاتالیست,002,استاندارد یورو 4,01,شرح کالا,001,11-1-06-03-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین‌ کننده خارجی,03,با کاتالیست,002,استاندارد یورو 5,02,شرح کالا,001,11-1-06-03-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه اگزوز,06,تامین‌ کننده خارجی,03,با کاتالیست,002,فاقد استاندارد آلایندگی (معمولاً برای اگزوزهای بدون کاتالیست),03,شرح کالا,001,11-1-06-03-002-03-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تولیدی هانی موتور,01,سیستم خنک کننده مایع (رادیاتور آب و...),001,بدون فن (پسیو),01,شرح کالا,001,11-1-07-01-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تولیدی هانی موتور,01,سیستم خنک کننده مایع (رادیاتور آب و...),001,با فن الکتریکی,02,شرح کالا,001,11-1-07-01-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تولیدی هانی موتور,01,سیستم خنک کننده روغن (رادیاتور روغن),002,بدون فن (پسیو),01,شرح کالا,001,11-1-07-01-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تولیدی هانی موتور,01,سیستم خنک کننده روغن (رادیاتور روغن),002,با فن الکتریکی,02,شرح کالا,001,11-1-07-01-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تامین ‌کننده داخلی,02,سیستم خنک کننده مایع (رادیاتور آب و...),001,بدون فن (پسیو),01,شرح کالا,001,11-1-07-02-001-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تامین ‌کننده داخلی,02,سیستم خنک کننده مایع (رادیاتور آب و...),001,با فن الکتریکی,02,شرح کالا,001,11-1-07-02-001-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تامین ‌کننده داخلی,02,سیستم خنک کننده روغن (رادیاتور روغن),002,بدون فن (پسیو),01,شرح کالا,001,11-1-07-02-002-01-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تامین ‌کننده داخلی,02,سیستم خنک کننده روغن (رادیاتور روغن),002,با فن الکتریکی,02,شرح کالا,001,11-1-07-02-002-02-001
مواد اوليه,11,قواي محرکه و انتقال قدرت,1,مجموعه خنک کننده,07,تامین‌ کننده خارجی,03,سیستم خنک کننده مایع (رادیاتور آب و...),001,بدون فن (پسیو),01,شرح کالا,001,11-1-07-03-001-01-001
